"Minnesota beats Maryland, 68-63. Minnesota advances!"
"Michigan State beats Wisconsin, 69-57. Michigan State advances!"
"Kentucky beats Tennessee, 80-70. Kentucky advances!"
"Connecticut beats SMU, 68-62. Connecticut advances!"
"East Tenn. St. beats Citadel, 67-51. East Tenn. St. advances!"
"Tennessee-Martin beats Eastern Illinois, 87-84. Tennessee-Martin advances!"
"Radford beats Liberty, 69-67. Radford advances!"
"Hofstra beats Towson, 84-82. Hofstra advances!"
"Chattanooga beats VMI, 85-59. Chattanooga advances!"
"William & Mary beats UNCW, 87-69. William & Mary advances!"
"Northeastern beats James Madison, 95-94. Northeastern advances!"
"Elon beats Drexel, 81-76. Elon advances!"
"Niagara beats Marist, 76-72. Niagara advances!"
"Jacksonville beats S.C. Upstate, 81-76. Jacksonville advances!"
"Wagner beats Fairleigh D'son, 94-74. Wagner advances!"
"Gardner-Webb beats Charleston So., 84-76. Gardner-Webb advances!"
"NJIT beats North Florida, 71-107. NJIT advances!"
"Winthrop beats Coastal Caro., 79-67. Winthrop advances!"
"Delaware beats Charleston, 62-59. Delaware advances!"
"Wichita State beats Missouri State, 99-68. Wichita State advances!"
"Robert Morris beats LIU Brooklyn, 74-67. Robert Morris advances!"
"FGCU beats Lipscomb, 82-67. FGCU advances!"
"Western Caro. beats Mercer, 72-65. Western Caro. advances!"
"Cent. Conn. St. beats Mt. St. Mary's, 76-72. Cent. Conn. St. advances!"
"Kennesaw State beats Stetson, 92-82. Kennesaw State advances!"
"High Point beats Longwood, 88-80. High Point advances!"
"Morehead State beats Tennessee State, 66-61. Morehead State advances!"
"Sacred Heart beats Bryant, 74-57. Sacred Heart advances!"
"IPFW beats South Dakota St., 91-79. IPFW advances!"
"Marshall beats Charlotte, 87-72. Marshall advances!"
"UNC-Asheville beats Presbyterian, 70-61. UNC-Asheville advances!"
"St. Francis (B'klyn) beats St. Francis (Pa.), 70-58. St. Francis (B'klyn) advances!"
"UALR beats Georgia State, 57-49. UALR advances!"
"Ga. Southern beats Arkansas State, 90-59. Ga. Southern advances!"
"South Alabama beats Appalachian St., 75-71. South Alabama advances!"
"Coppin State beats N.C. Central, 71-60. Coppin State advances!"
"Fairfield beats Canisius, 74-71. Fairfield advances!"
"Old Dominion beats Western Ky., 59-56. Old Dominion advances!"
"UTRGV beats Seattle, 67-57. UTRGV advances!"
"North Texas beats FIU, 77-75. North Texas advances!"
"UNC-Greensboro beats Samford, 82-77. UNC-Greensboro advances!"
"Quinnipiac beats St. Peter's, 56-55. Quinnipiac advances!"
"SIUE beats Southeast Mo. St., 72-69. SIUE advances!"
"Rice beats Florida Atlantic, 90-85. Rice advances!"
"Houston Baptist beats Abilene Christian, 73-71. Houston Baptist advances!"
"Texas-Arlington beats La.-Lafayette, 84-83. Texas-Arlington advances!"
"Northern Ariz. beats Idaho State, 81-68. Northern Ariz. advances!"
"La.-Monroe beats Texas State, 76-57. La.-Monroe advances!"
"Belmont beats Eastern Kentucky, 86-78. Belmont advances!"
"Gonzaga beats Pacific, 90-68. Gonzaga advances!"
"Utah Valley beats Chicago State, 74-72. Utah Valley advances!"
"Grand Canyon beats UMKC, 78-66. Grand Canyon advances!"
"New Mexico St. beats CSU Bakersfield, 63-55. New Mexico St. advances!"
"Louisiana Tech beats UTSA, 87-74. Louisiana Tech advances!"
"Weber State beats Southern Utah, 87-83. Weber State advances!"
"Tulsa beats Cincinnati, 70-68. Tulsa advances!"
"UTEP beats Southern Miss, 78-73. UTEP advances!"
"Utah beats UCLA, 75-73. Utah advances!"
"Cal Poly beats UC Davis, 58-53. Cal Poly advances!"
"Stanford beats Washington St., 72-56. Stanford advances!"
"Hawaii beats CSUN, 69-63. Hawaii advances!"
"Santa Clara beats Loyola Marym't, 76-72. Santa Clara advances!"
"St. Mary's (Cal.) beats Portland, 74-72. St. Mary's (Cal.) advances!"
"San Francisco beats Pepperdine, 82-72. San Francisco advances!"
"Idaho beats Portland State, 80-74. Idaho advances!"
"Eastern Wash. beats Sacramento St., 93-88. Eastern Wash. advances!"
"UC Santa Barb. beats UC Riverside, 65-55. UC Santa Barb. advances!"
"California beats Washington, 78-75. California advances!"
"BYU beats San Diego, 69-67. BYU advances!"
